yýl24;yaþ grubu24;toplam24;erkek24;kadýn24;yýl20;yaþ grubu20;toplam20;erkek20;kadýn20;yýl16;yaþ grubu16;toplam16;erkek16;kadýn16;yýl12;yaþ grubu12;toplam12;erkek12;kadýn12
2024;0  4;5,082,386;2,606,763;2,475,623;2020;0  4;6,121,707;3,140,172;2,981,535;2016;0  4;6,459,295;3,314,542;3,144,753;2012;0  4;6,198,957;3,182,650;3,016,307
2024;5  9;6,385,085;3,274,360;3,110,725;2020;5  9;6,526,593;3,349,253;3,177,340;2016;5  9;6,337,444;3,253,345;3,084,099;2012;5  9;6,158,964;3,161,223;2,997,741
2024;10  14;6,459,094;3,314,979;3,144,115;2020;10  14;6,419,937;3,294,985;3,124,952;2016;10  14;6,129,043;3,147,133;2,981,910;2012;10  14;6,499,258;3,334,509;3,164,749
2024;15  19;6,428,530;3,298,654;3,129,876;2020;15  19;6,230,114;3,201,588;3,028,526;2016;15  19;6,623,319;3,400,443;3,222,876;2012;15  19;6,405,552;3,286,864;3,118,688
2024;20  24;6,334,629;3,235,130;3,099,499;2020;20  24;6,663,636;3,408,434;3,255,202;2016;20  24;6,365,723;3,247,764;3,117,959;2012;20  24;6,186,089;3,151,253;3,034,836
2024;25  29;6,554,617;3,336,548;3,218,069;2020;25  29;6,370,954;3,240,543;3,130,411;2016;25  29;6,246,041;3,169,360;3,076,681;2012;25  29;6,270,678;3,185,423;3,085,255
2024;30  34;6,288,600;3,182,620;3,105,980;2020;30  34;6,318,894;3,199,710;3,119,184;2016;30  34;6,310,411;3,196,645;3,113,766;2012;30  34;6,544,927;3,307,333;3,237,594
2024;35  39;6,300,568;3,174,570;3,125,998;2020;35  39;6,473,583;3,270,512;3,203,071;2016;35  39;6,494,333;3,275,175;3,219,158;2012;35  39;5,731,177;2,890,170;2,841,007
2024;40  44;6,528,192;3,282,536;3,245,656;2020;40  44;6,235,110;3,145,645;3,089,465;2016;40  44;5,634,317;2,833,655;2,800,662;2012;40  44;5,064,060;2,565,499;2,498,561
2024;45  49;5,912,915;2,979,015;2,933,900;2020;45  49;5,563,666;2,788,035;2,775,631;2016;45  49;4,748,514;2,412,875;2,335,639;2012;45  49;4,699,421;2,368,340;2,331,081
2024;50  54;5,465,382;2,726,368;2,739,014;2020;50  54;4,584,632;2,325,190;2,259,442;2016;50  54;4,756,244;2,381,640;2,374,604;2012;50  54;4,039,198;2,029,218;2,009,980
2024;55  59;4,579,564;2,301,684;2,277,880;2020;55  59;4,577,587;2,273,088;2,304,499;2016;55  59;3,715,736;1,855,171;1,860,565;2012;55  59;3,478,582;1,727,004;1,751,578
2024;60  64;4,233,084;2,072,512;2,160,572;2020;60  64;3,574,394;1,764,938;1,809,456;2016;60  64;3,342,948;1,636,510;1,706,438;2012;60  64;2,668,518;1,292,769;1,375,749
2024;65  69;3,333,963;1,608,416;1,725,547;2020;65  69;2,938,715;1,399,052;1,539,663;2016;65  69;2,412,537;1,132,464;1,280,073;2012;65  69;1,928,386;899,831;1,028,555
2024;70  74;2,441,469;1,124,799;1,316,670;2020;70  74;2,131,705;960,742;1,170,963;2016;70  74;1,680,492;763,121;917,371;2012;70  74;1,500,126;671,942;828,184
2024;75  79;1,680,617;716,554;964,063;2020;75  79;1,355,346;583,671;771,675;2016;75  79;1,202,050;512,607;689,443;2012;75  79;1,102,126;484,634;617,492
2024;80  84;942,473;374,066;568,407;2020;80  84;861,199;339,767;521,432;2016;80  84;809,325;336,206;473,119;2012;80  84;745,666;289,054;456,612
2024;85+;713,776;243,536;470,240;2020;85+;666,590;230,660;435,930;2016;85+;547,099;174,994;372,105;2012;85+;405,699;128,452;277,247
2024;TOPLAM;85,664,944;42,853,110;42,811,834;2020;TOPLAM;83614362;41,915,985;41,698,377;2016;TOPLAM;79814871;40,043,650;39,771,221;2012;TOPLAM;75627384;37,956,168;37,671,216
;;;;;;;;;;;;;;;;;;;
