year;pop;city;grwt_rate;pop_density;year2;yer;sex;pop2
2000;64729501;Adana;4.5;92;2007;il;male;39 939 809
2001;65603160;Adýyaman;10.0;93;2008;il;female;40067449
2002;66401851;Afyonkarahisar;-1.5;94;2009;köy;male;2 913 301
2003;67187251;Aðrý;-22.6;96;2010;köy;female;2744385
2004;68010215;Amasya;8.4;97;2011;;;
2005;68860539;Ankara;10.4;98;2012;;;
2006;69729967;Antalya;9.5;100;2013;;;
2007;70586256;Artvin;-18.0;101;2014;;;
2008;71517100;Aydýn;3.6;102;2015;;;
2009;72561312;Balýkesir;2.0;104;2016;;;
2010;73722988;Bilecik;1.9;105;2017;;;
2011;74724269;Bingöl;-8.4;107;2018;;;
2012;75627384;Bitlis;0.2;108;2019;;;
2013;76667864;Bolu;5.0;109;2020;;;
2014;77695904;Burdur;-5.9;110;2021;;;
2015;78741053;Bursa;7.5;111;2022;;;
2016;79814 871;Çanakkale;-2.7;111;2023;;;
2017;80810525;Çankýrý;-27.2;111;2024;;;
2018;82003882;Çorum;-13.4;;;;;
2019;83154997;Denizli;2.2;;;;;
2020;83614362;Diyarbakýr;8.5;;;;;
2021;84680273;Edirne;3.2;;;;;
2022;85279553;Elazýð;-0.8;;;;;
2023;85372377;Erzincan;-8.9;;;;;
2024;85664944;Erzurum;-6.7;;;;;
;;Eskiþehir;6.8;;;;;
;;Gaziantep;13.4;;;;;
;;Giresun;-12.6;;;;;
;;Gümüþhane;-40.7;;;;;
;;Hakkari;-19.1;;;;;
;;Hatay;11.3;;;;;
;;Isparta;-7.5;;;;;
;;Mersin;8.2;;;;;
;;Ýstanbul;2.9;;;;;
;;Ýzmir;3.1;;;;;
;;Kars;-21.9;;;;;
;;Kastamonu;-18.2;;;;;
;;Kayseri;4.7;;;;;
;;Kýrklareli;5.0;;;;;
;;Kýrþehir;-10.7;;;;;
;;Kocaeli;12.8;;;;;
;;Konya;4.2;;;;;
;;Kütahya;-8.0;;;;;
;;Malatya;10.4;;;;;
;;Manisa;-0.2;;;;;
;;Kahramanmaraþ;15.5;;;;;
;;Mardin;7.9;;;;;
;;Muðla;14.1;;;;;
;;Muþ;-19.1;;;;;
;;Nevþehir;6.2;;;;;
;;Niðde;-11.7;;;;;
;;Ordu;-6.6;;;;;
;;Rize;-10.1;;;;;
;;Sakarya;11.4;;;;;
;;Samsun;3.5;;;;;
;;Siirt;-32.1;;;;;
;;Sinop;-12.1;;;;;
;;Sivas;-20.8;;;;;
;;Tekirdað;17.1;;;;;
;;Tokat;9.4;;;;;
;;Trabzon;-2.5;;;;;
;;Tunceli;-30.8;;;;;
;;Þanlýurfa;10.7;;;;;
;;Uþak;-4.5;;;;;
;;Van;-8.5;;;;;
;;Yozgat;-18.1;;;;;
;;Zonguldak;-8.0;;;;;
;;Aksaray;2.2;;;;;
;;Bayburt;-27.9;;;;;
;;Karaman;-4.4;;;;;
;;Kýrýkkale;-9.5;;;;;
;;Batman;11.3;;;;;
;;Þýrnak;0.1;;;;;
;;Bartýn;-2.5;;;;;
;;Ardahan;-15.9;;;;;
;;Iðdýr;-13.8;;;;;
;;Yalova;10.1;;;;;
;;Karabük;-18.8;;;;;
;;Kilis;10.0;;;;;
;;Osmaniye;6.1;;;;;
;;Düzce;6.0;;;;;
